"","number","time","position","race_id","athlete_id","world_athletics_id","birth","nationality","sex","active_seasons","temperature","humidity","conditions","competition","stadium_id","round","event","name","final_position","color","Reference Bit","Critical Speed (m/s)","Work Capacity (m)","R2","velocity","w_r","rel_w_r"
"18",3,13.5,9,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.40740740740741,152.76489374374,0.751096143329752
"19",4,13.6,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.35294117647059,133.515096816349,0.656451046032086
"20",5,14,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.14285714285714,116.640305861683,0.57348309380867
"21",6,14,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.14285714285714,99.7655149070161,0.490515141585254
"22",7,14.4,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",0,5.93751493180953,203.389266607739,0.997612726009812,6.94444444444444,85.2657299250734,0.419224334436087
"23",8,14.2,7,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",0,5.93751493180953,203.389266607739,0.997612726009812,7.04225352112676,69.5784419567687,0.342094954749796
"24",9,14.3,6,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",0,5.93751493180953,203.389266607739,0.997612726009812,6.99300699300699,54.484905481645,0.267884861332067
"25",10,13.9,5,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.19424460431655,37.0163630337975,0.181997622840088
"26",11,13.9,5,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.19424460431655,19.54782058595,0.0961103843481099
"27",12,13.7,4,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.2992700729927,0.891775151740607,0.00438457331900657
"28",13,13.3,3,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.5187969924812,-20.1392762551926,-0.0990183827843465
"29",14,13.3,3,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.5187969924812,-41.1703276621258,-0.202421338887699
"30",15,13,1,1,1,14905834,"2001-06-06T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021 2020 2019","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Cole Hocker",1,"#FFD700",1,5.93751493180953,203.389266607739,0.997612726009812,7.69230769230769,-63.9826335486019,-0.31458215379674
"31",1,14.3,5,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",0,6.10985396460853,159.947083272987,0.995473010817826,6.99300699300699,147.317994966889,0.92104208437147
"32",2,13.5,5,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",1,6.10985396460853,159.947083272987,0.995473010817826,7.40740740740741,129.801023489104,0.811524792031177
"33",3,13.7,6,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",1,6.10985396460853,159.947083272987,0.995473010817826,7.2992700729927,113.506022804241,0.709647343868826
"34",4,13.8,5,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",1,6.10985396460853,159.947083272987,0.995473010817826,7.2463768115942,97.8220075158389,0.611589817795444
"35",5,14.1,5,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",0,6.10985396460853,159.947083272987,0.995473010817826,7.09219858156028,83.9709484168192,0.524992057988973
"36",6,14,5,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",1,6.10985396460853,159.947083272987,0.995473010817826,7.14285714285714,69.5089039213387,0.434574376093532
"37",7,14.4,5,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",0,6.10985396460853,159.947083272987,0.995473010817826,6.94444444444444,57.4908010117015,0.359436382553973
"38",8,14.2,5,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",0,6.10985396460853,159.947083272987,0.995473010817826,7.04225352112676,44.2507273091427,0.276658544836472
"39",9,14.5,7,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",0,6.10985396460853,159.947083272987,0.995473010817826,6.89655172413793,32.8436097959664,0.205340473385883
